"Numero_Fiche";"Bloc_Competences_Code";"Bloc_Competences_Libelle"
"RNCP183";"RNCP183BC01";"Monter et mettre en service des installations frigorifiques monopostes positives et négatives"
"RNCP183";"RNCP183BC02";"Assurer la maintenance des installations frigorifiques mono-étagés de type monoposte et de climatisation"
"RNCP183";"RNCP183BC03";"Réaliser, sur instruction, l'assemblage et la maintenance systématique des installations de froid commercial complexes et centralisées"
"RNCP184";"RNCP184BC01";"Préparer, lancer et arrêter une installation de production automatisée équipée ou non de robots."
"RNCP184";"RNCP184BC02";"Conduire une installation de production automatisée équipée ou non de robots."
"RNCP193";"RNCP193BC02";"Traiter les opérations administratives liées à la gestion commerciale et aux ressources humaines"
"RNCP193";"RNCP193BC01";"Assister une équipe dans la communication des informations et l'organisation des activités"
"RNCP202";"RNCP202BC02";"Fabriquer en série des pièces ou des sous-ensembles industriels sur une machine pré-réglée"
"RNCP202";"RNCP202BC01";"Fabriquer en série manuellement et à l'aide de machines portatives des pièces ou des sous-ensembles industriels"
"RNCP207";"RNCP207BC03";"Réparer les moteurs et les transmissions des véhicules utilitaires et industriels"
"RNCP207";"RNCP207BC02";"Réparer le freinage, les liaisons au sol et la direction des véhicules utilitaires et industriels"
"RNCP207";"RNCP207BC01";"Effectuer les opérations d'entretien courant des véhicules utilitaires et industriels"
"RNCP207";"RNCP207BC04";"Effectuer les opérations de pose d'accessoires et de remise en état des équipements de signalisation, visibilité, retenue, remorquage et levage"
"RNCP211";"RNCP211BC03";"Diagnostiquer une défaillance et mettre en service un équipement industriel automatisé"
"RNCP211";"RNCP211BC02";"Réparer les éléments mécaniques et hydrauliques d'un équipement industriel"
"RNCP211";"RNCP211BC01";"Réparer les éléments électrotechniques et pneumatiques d'un équipement industriel"
"RNCP211";"RNCP211BC04";"Effectuer la maintenance préventive d'équipements industriels et réaliser des améliorations à partir de propositions argumentées"
"RNCP213";"RNCP213BC01";" Assurer la mise en service et la maintenance des installations de chauffage et d'eau chaude sanitaire équipées de générateurs au sol"
"RNCP213";"RNCP213BC02";" Assurer la mise en service et la maintenance des installations de chauffage et d'eau chaude sanitaire équipées de générateurs muraux gaz "
"RNCP216";"RNCP216BC02";"Réaliser le suivi technique de chantier et la mise en service d’un système de sécurité incendie"
"RNCP216";"RNCP216BC03";"Assurer la maintenance préventive et corrective d’un système de sécurité incendie"
"RNCP216";"RNCP216BC01";"Réaliser l’étude d’un système de sécurité incendie"
"RNCP218";"RNCP218BC04";"Assurer la maintenance corrective des installations de froid commercial complexes et centralisées"
"RNCP218";"RNCP218BC02";"Assurer la maintenance des systèmes frigorifiques mono-étagés de type monoposte et de climatisation"
"RNCP218";"RNCP218BC03";"Assurer la maintenance préventive des installations de froid commercial complexes et centralisées"
"RNCP218";"RNCP218BC01";"Mettre en service des systèmes frigorifiques mono-étagés de type monoposte"
"RNCP221";"RNCP221BC03";"Elaborer des séquences d'animations interactives"
"RNCP221";"RNCP221BC01";"Réaliser des infographies pour des supports numériques "
"RNCP221";"RNCP221BC02";"Réaliser des sites web destinés à la chaîne d'édition multimédia en ligne"
"RNCP225";"RNCP225BC03";"Assister ou dépanner les clients ou les utilisateurs"
"RNCP225";"RNCP225BC02";"Intervenir sur les éléments de l'infrastructure"
"RNCP225";"RNCP225BC01";"Mettre en service des équipements numériques"
