"Numero_Fiche";"Codes_Rome_Code";"Codes_Rome_Libelle"
"RNCP181";"M1203";"Comptabilité"
"RNCP183";"I1306";"Installation et maintenance en froid, conditionnement d''air"
"RNCP184";"H3301";"Conduite d''équipement de conditionnement"
"RNCP184";"H2906";"Conduite d''installation automatisée ou robotisée de fabrication mécanique"
"RNCP185";"F1107";"Mesures topographiques"
"RNCP192";"D1408";"Téléconseil et télévente"
"RNCP193";"M1607";"Secrétariat"
"RNCP194";"D1401";"Assistanat commercial"
"RNCP195";"M1605";"Assistanat technique et administratif"
"RNCP195";"D1401";"Assistanat commercial"
"RNCP202";"H3302";"Opérations manuelles d''assemblage, tri ou emballage"
"RNCP203";"I1305";"Installation et maintenance électronique"
"RNCP203";"I1203";"Maintenance des bâtiments et des locaux"
"RNCP205";"I1604";"Mécanique automobile et entretien de véhicules"
"RNCP206";"I1604";"Mécanique automobile et entretien de véhicules"
"RNCP207";"I1604";"Mécanique automobile et entretien de véhicules"
"RNCP209";"I1305";"Installation et maintenance électronique"
"RNCP209";"I1402";"Réparation de biens électrodomestiques et multimédia"
"RNCP210";"I1305";"Installation et maintenance électronique"
"RNCP210";"I1402";"Réparation de biens électrodomestiques et multimédia"
"RNCP211";"I1304";"Installation et maintenance d''équipements industriels et d''exploitation"
"RNCP211";"I1310";"Maintenance mécanique industrielle"
"RNCP211";"I1309";"Maintenance électrique"
"RNCP212";"I1304";"Installation et maintenance d''équipements industriels et d''exploitation"
"RNCP212";"I1305";"Installation et maintenance électronique"
"RNCP212";"H1504";"Intervention technique en contrôle essai qualité en électricité et électronique"
"RNCP213";"I1308";"Maintenance d''installation de chauffage"
"RNCP213";"F1603";"Installation d''équipements sanitaires et thermiques"
"RNCP214";"F1603";"Installation d''équipements sanitaires et thermiques"
"RNCP216";"F1605";"Montage de réseaux électriques et télécoms"
"RNCP216";"I1307";"Installation et maintenance télécoms et courants faibles"
"RNCP218";"I1306";"Installation et maintenance en froid, conditionnement d''air"
"RNCP220";"D1404";"Relation commerciale en vente de véhicules"
"RNCP220";"D1403";"Relation commerciale auprès de particuliers"
"RNCP220";"D1212";"Vente en décoration et équipement du foyer"
"RNCP220";"D1214";"Vente en habillement et accessoires de la personne"
"RNCP221";"E1205";"Réalisation de contenus multimédias"
"RNCP221";"E1104";"Conception de contenus multimédias"
"RNCP221";"E1306";"Prépresse"
"RNCP223";"G1202";"Animation d''activités culturelles ou ludiques"
"RNCP224";"M1805";"Études et développement informatique"
"RNCP225";"I1401";"Maintenance informatique et bureautique"
"RNCP226";"I1307";"Installation et maintenance télécoms et courants faibles"
"RNCP226";"I1401";"Maintenance informatique et bureautique"
"RNCP227";"I1401";"Maintenance informatique et bureautique"
"RNCP227";"M1801";"Administration de systèmes d''information"
"RNCP228";"G1101";"Accueil touristique"
"RNCP229";"G1205";"Personnel d''attractions ou de structures de loisirs"
"RNCP230";"J1307";"Préparation en pharmacie"
"RNCP231";"K1304";"Services domestiques"
"RNCP231";"K1305";"Intervention sociale et familiale"
"RNCP231";"K1303";"Assistance auprès d''enfants"
"RNCP231";"K1302";"Assistance auprès d''adultes"
"RNCP232";"K1204";"Médiation sociale et facilitation de la vie en société"
"RNCP233";"H2605";"Montage et câblage électronique"
"RNCP234";"H2903";"Conduite d''équipement d''usinage"
"RNCP234";"H2912";"Réglage d''équipement de production industrielle"
"RNCP234";"H2906";"Conduite d''installation automatisée ou robotisée de fabrication mécanique"
"RNCP235";"A1203";"Aménagement et entretien des espaces verts"
"RNCP236";"H2903";"Conduite d''équipement d''usinage"
"RNCP236";"H2912";"Réglage d''équipement de production industrielle"
"RNCP236";"H2906";"Conduite d''installation automatisée ou robotisée de fabrication mécanique"
"RNCP237";"M1302";"Direction de petite ou moyenne entreprise"
"RNCP237";"G1402";"Management d''hôtel-restaurant"
"RNCP237";"K1802";"Développement local"
"RNCP237";"G1403";"Gestion de structure de loisirs ou d''hébergement touristique"
"RNCP238";"H3201";"Conduite d''équipement de formage des plastiques et caoutchoucs"
"RNCP238";"H3202";"Réglage d''équipement de formage des plastiques et caoutchoucs"
"RNCP239";"H3201";"Conduite d''équipement de formage des plastiques et caoutchoucs"
"RNCP239";"H3202";"Réglage d''équipement de formage des plastiques et caoutchoucs"
"RNCP240";"H3203";"Fabrication de pièces en matériaux composites"
"RNCP241";"H1403";"Intervention technique en gestion industrielle et logistique"
"RNCP241";"H1404";"Intervention technique en méthodes et industrialisation"
"RNCP242";"H3203";"Fabrication de pièces en matériaux composites"
"RNCP242";"H2504";"Encadrement d''équipe en industrie de transformation"
"RNCP242";"H2908";"Modelage de matériaux non métalliques"
"RNCP243";"H1203";"Conception et dessin produits mécaniques"
"RNCP245";"H2901";"Ajustement et montage de fabrication"
"RNCP246";"I1602";"Maintenance d''aéronefs"
"RNCP246";"H2901";"Ajustement et montage de fabrication"
"RNCP247";"K2111";"Formation professionnelle"
"RNCP248";"B1604";"Réparation - montage en systèmes horlogers"
"RNCP249";"H1203";"Conception et dessin produits mécaniques"
"RNCP250";"I1306";"Installation et maintenance en froid, conditionnement d''air"
"RNCP250";"I1203";"Maintenance des bâtiments et des locaux"
"RNCP256";"H2504";"Encadrement d''équipe en industrie de transformation"
"RNCP256";"H1503";"Intervention technique en laboratoire d''analyse industrielle"
"RNCP256";"H1404";"Intervention technique en méthodes et industrialisation"
"RNCP256";"H1210";"Intervention technique en études, recherche et développement"
"RNCP257";"A1302";"Contrôle et diagnostic technique en agriculture"
"RNCP258";"B1803";"Réalisation de vêtements sur mesure ou en petite série"
"RNCP258";"H2412";"Patronnage - gradation"
"RNCP258";"H1205";"Études - modèles en industrie des matériaux souples"
"RNCP259";"D1502";"Management/gestion de rayon produits alimentaires"
"RNCP259";"D1503";"Management/gestion de rayon produits non alimentaires"
"RNCP260";"N1302";"Direction de site logistique"
"RNCP261";"H2912";"Réglage d''équipement de production industrielle"
"RNCP261";"H2903";"Conduite d''équipement d''usinage"
"RNCP262";"H1503";"Intervention technique en laboratoire d''analyse industrielle"
"RNCP262";"H2301";"Conduite d''équipement de production chimique ou pharmaceutique"
"RNCP262";"H1210";"Intervention technique en études, recherche et développement"
"RNCP262";"H1404";"Intervention technique en méthodes et industrialisation"
"RNCP263";"F1102";"Conception - aménagement d''espaces intérieurs"
"RNCP264";"E1103";"Communication"
"RNCP264";"M1707";"Stratégie commerciale"
"RNCP264";"M1301";"Direction de grande entreprise ou d''établissement public"
"RNCP264";"M1302";"Direction de petite ou moyenne entreprise"
"RNCP264";"D1406";"Management en force de vente"
"RNCP265";"I1501";"Intervention en grande hauteur"
"RNCP266";"F1703";"Maçonnerie"
"RNCP266";"F1612";"Taille et décoration de pierres"
"RNCP266";"F1503";"Réalisation - installation d''ossatures bois"
"RNCP266";"F1607";"Pose de fermetures menuisées"
"RNCP267";"K1706";"Sécurité publique"
"RNCP268";"K1704";"Management de la sécurité publique"
"RNCP269";"K1706";"Sécurité publique"
"RNCP270";"K1704";"Management de la sécurité publique"
"RNCP271";"M1607";"Secrétariat"
"RNCP272";"N1303";"Intervention technique d''exploitation logistique"
"RNCP272";"M1501";"Assistanat en ressources humaines"
"RNCP273";"K2503";"Sécurité et surveillance privées"
"RNCP273";"K1706";"Sécurité publique"
"RNCP274";"I1304";"Installation et maintenance d''équipements industriels et d''exploitation"
"RNCP274";"I1401";"Maintenance informatique et bureautique"
"RNCP274";"I1307";"Installation et maintenance télécoms et courants faibles"
"RNCP275";"G1404";"Management d''établissement de restauration collective"
"RNCP275";"G1402";"Management d''hôtel-restaurant"
"RNCP275";"G1403";"Gestion de structure de loisirs ou d''hébergement touristique"
"RNCP277";"F1102";"Conception - aménagement d''espaces intérieurs"
"RNCP277";"L1503";"Décor et accessoires spectacle"
"RNCP277";"B1301";"Décoration d''espaces de vente et d''exposition"
"RNCP278";"K2204";"Nettoyage de locaux"
"RNCP278";"J1301";"Personnel polyvalent des services hospitaliers"
"RNCP279";"L1508";"Prise de son et sonorisation"
"RNCP279";"L1302";"Production et administration spectacle, cinéma et audiovisuel"
"RNCP279";"L1507";"Montage audiovisuel et post-production"
"RNCP279";"L1505";"Image cinématographique et télévisuelle"
"RNCP279";"L1304";"Réalisation cinématographique et audiovisuelle"
"RNCP280";"G1603";"Personnel polyvalent en restauration"
"RNCP281";"D1403";"Relation commerciale auprès de particuliers"
"RNCP282";"G1101";"Accueil touristique"
"RNCP283";"G1102";"Promotion du tourisme local"
"RNCP283";"K1802";"Développement local"
